         866
       1476       751       736       706
       1477       822       801       795
       1478       740       723       739
       1479       762       739       738
       1480       786       760       780
       1481       836       820       818
       1482       771       755       732
       1485       774       736       751
       1493       747       709       746
       1494       747       726       709
       1495       755       746       708
       1496       747       738       710
       1500       813       774       797
       1501       763       740       739
       1502       751       706       737
       1503       770       751       737
       1504       811       789       804
       1505       752       732       712
       1506       752       712       733
       1509       798       780       787
       1510       776       754       753
       1511       797       770       788
       1512       765       746       755
       1515       776       753       775
       1521       760       733       730
       1522       824       806       819
       1523       825       799       810
       1524       829       822       809
       1525       777       740       763
       1526       801       799       781
       1527       769       752       733
       1528       809       782       796
       1531       771       732       766
       1532       765       762       738
       1533       783       765       755
       1534       783       755       771
       1537       787       754       776
       1539       825       816       799
       1540       790       760       786
       1542       774       751       770
       1543       783       782       762
       1544       783       762       765
       1546       830       814       807
       1548       798       786       780
       1549       797       774       770
       1550       801       777       795
       1551       841       828       837
       1553       805       775       793
       1554       787       780       754
       1555       817       791       813
       1556       781       757       777
       1558       804       789       791
       1561       819       806       786
       1562       812       785       800
       1563       853       850       825
       1564       796       783       771
       1565       826       804       817
       1566       782       763       762
       1567       796       782       783
       1568       796       771       766
       1569       789       758       750
       1571       846       829       840
       1572       790       769       760
       1575       854       847       823
       1576       807       776       805
       1577       788       770       761
       1578       788       761       781
       1579       820       807       805
       1581       832       800       815
       1582       827       815       806
       1583       791       789       750
       1584       791       750       774
       1585       805       776       775
       1587       831       758       789
       1588       807       787       776
       1591       795       777       763
       1592       795       763       782
       1593       802       766       785
       1594       802       796       766
       1595       853       825       839
       1597       852       833       838
       1598       905       904       891
       1599       799       788       781
       1600       801       781       777
       1601       800       785       769
       1602       800       769       790
       1603       842       822       829
       1604       925       895       916
       1605       854       823       849
       1606       809       796       802
       1607       816       797       788
       1608       816       788       799
       1609       813       791       774
       1610       828       818       803
       1611       820       805       818
       1612       830       807       820
       1613       806       790       786
       1614       819       786       798
       1615       864       848       824
       1616       874       849       858
       1617       831       789       811
       1619       822       795       809
       1620       809       795       782
       1621       822       810       801
       1622       832       812       800
       1623       833       804       826
       1624       856       826       843
       1625       840       802       812
       1626       812       802       785
       1627       912       106       107
       1628       855       852       838
       1629       814       798       787
       1630       814       787       807
       1631       815       800       790
       1632       815       790       806
       1633       869       855       838
       1634       835       813       834
       1635       867       838       856
       1636       834       813       797
       1637       818       805       793
       1638       818       793       803
       1639       868       848       864
       1640       900       885       899
       1641       861       836       841
       1642       841       836       828
       1643       849       823       814
       1645       898       880       866
       1646       842       810       822
       1647       823       819       798
       1648       823       798       814
       1649       858       849       830
       1650       857       832       844
       1651       923       894       915
       1652       834       797       816
       1653       835       817       813
       1654       843       826       817
       1655       870       859       848
       1656       896       881       882
       1657       872       839       860
       1658       856       838       826
       1659       876       863       857
       1660       882       871       859
       1661       869       838       867
       1662       849       814       830
       1665       860       810       842
       1666       864       824       847
       1667       828       836       818
       1668       833       811       804
       1669       850       834       816
       1670       850       816       825
       1671       908       890       897
       1672       878       855       869
       1673       828       803       821
       1674       852       811       833
       1675       837       828       821
       1676       837       821       831
       1677       838       833       826
       1678       843       817       835
